video,frame_id,timestamp,class,confidence,x1,y1,x2,y2
monkeyeating,161,00:00:06,monkey,0.549,39,85,585,907
monkeyeating,162,00:00:06,monkey,0.678,12,87,614,1280
monkeyeating,163,00:00:06,monkey,0.678,0,93,600,1280
monkeyeating,164,00:00:06,monkey,0.697,0,88,581,1273
monkeyeating,164,00:00:06,monkey,0.517,10,93,544,965
monkeyeating,165,00:00:06,monkey,0.652,0,89,630,1280
monkeyeating,166,00:00:06,monkey,0.589,0,83,546,1070
monkeyeating,168,00:00:06,monkey,0.561,0,90,452,927
monkeyeating,169,00:00:06,monkey,0.544,1,98,469,1157
monkeyeating,170,00:00:06,monkey,0.579,0,68,440,1264
monkeyeating,171,00:00:06,monkey,0.553,0,77,388,1082
monkeyeating,172,00:00:06,monkey,0.553,0,66,405,1252
monkeyeating,173,00:00:06,monkey,0.569,0,60,412,1251
monkeyeating,174,00:00:06,monkey,0.519,0,45,427,1197
monkeyeating,175,00:00:07,monkey,0.621,0,39,399,935
monkeyeating,176,00:00:07,monkey,0.744,1,31,432,1099
monkeysplaying,12,00:00:00,monkey,0.618,103,292,407,639
monkeysplaying,13,00:00:00,monkey,0.594,101,298,402,643
monkeysplaying,37,00:00:01,monkey,0.636,132,325,396,688
monkeysplaying,38,00:00:01,monkey,0.604,134,322,398,686
monkeysplaying,38,00:00:01,monkey,0.582,0,299,438,1277
monkeysplaying,39,00:00:01,monkey,0.724,0,307,444,1278
monkeysplaying,40,00:00:01,monkey,0.586,127,324,368,696
monkeysplaying,40,00:00:01,monkey,0.567,386,638,720,1279
monkeysplaying,41,00:00:01,monkey,0.578,0,299,413,1279
monkeysplaying,43,00:00:01,monkey,0.513,94,321,362,706
monkeysplaying,46,00:00:02,monkey,0.604,73,318,321,724
monkeysplaying,48,00:00:02,monkey,0.567,28,333,297,696
monkeysplaying,53,00:00:02,monkey,0.531,37,387,230,805
monkeysplaying,55,00:00:02,monkey,0.511,298,504,717,1277
monkeysplaying,57,00:00:02,monkey,0.568,383,493,694,1274
monkeysplaying,60,00:00:02,monkey,0.713,0,425,719,1280
monkeysplaying,61,00:00:02,monkey,0.661,59,432,719,1280
monkeysplaying,62,00:00:02,monkey,0.713,0,435,720,1278
monkeysplaying,63,00:00:02,monkey,0.669,0,438,720,1279
monkeysplaying,64,00:00:02,monkey,0.808,0,369,720,1280
monkeysplaying,65,00:00:02,monkey,0.819,6,355,720,1280
monkeysplaying,66,00:00:02,monkey,0.814,8,352,720,1280
monkeysplaying,67,00:00:02,monkey,0.777,15,376,720,1280
monkeysplaying,67,00:00:02,monkey,0.528,490,354,683,749
monkeysplaying,68,00:00:02,monkey,0.719,0,467,720,1277
monkeysplaying,68,00:00:02,monkey,0.577,477,357,704,693
monkeysplaying,69,00:00:03,monkey,0.662,0,455,719,1280
monkeysplaying,70,00:00:03,monkey,0.659,0,439,720,1279
monkeysplaying,71,00:00:03,monkey,0.768,0,437,720,1278
monkeysplaying,71,00:00:03,monkey,0.58,510,393,686,603
monkeysplaying,72,00:00:03,monkey,0.674,0,377,720,1280
monkeysplaying,73,00:00:03,monkey,0.584,14,351,718,1280
monkeysplaying,74,00:00:03,monkey,0.646,4,364,718,1280
monkeysplaying,75,00:00:03,monkey,0.768,0,336,720,1279
monkeysplaying,76,00:00:03,monkey,0.743,7,368,720,1279
monkeysplaying,77,00:00:03,monkey,0.681,20,332,720,1279
monkeysplaying,78,00:00:03,monkey,0.693,36,296,720,1279
monkeysplaying,79,00:00:03,monkey,0.689,43,304,720,1278
monkeysplaying,80,00:00:03,monkey,0.511,46,273,720,1279
monkeysplaying,81,00:00:03,monkey,0.548,77,258,719,1279
monkeysplaying,83,00:00:03,monkey,0.579,61,251,718,1278
monkeysplaying,84,00:00:03,monkey,0.761,451,395,645,718
monkeysplaying,85,00:00:03,monkey,0.561,442,385,643,727
monkeysplaying,86,00:00:03,monkey,0.665,455,378,650,714
monkeysplaying,86,00:00:03,monkey,0.627,137,284,718,1279
monkeysplaying,87,00:00:03,monkey,0.58,132,262,719,1280
monkeysplaying,87,00:00:03,monkey,0.578,472,366,656,709
monkeysplaying,88,00:00:03,monkey,0.541,142,253,718,1280
monkeysplaying,89,00:00:03,monkey,0.621,193,291,429,650
monkeysplaying,90,00:00:03,monkey,0.69,174,288,423,662
monkeysplaying,92,00:00:04,monkey,0.623,135,290,432,650
monkeysplaying,94,00:00:04,monkey,0.604,476,423,678,776
monkeysplaying,97,00:00:04,monkey,0.605,473,412,672,786
monkeysplaying,98,00:00:04,monkey,0.612,465,402,653,788
monkeysplaying,99,00:00:04,monkey,0.599,459,393,652,768
monkeysplaying,100,00:00:04,monkey,0.711,461,388,672,749
monkeysplaying,101,00:00:04,monkey,0.806,463,375,671,706
monkeysplaying,101,00:00:04,monkey,0.524,143,294,719,1280
monkeysplaying,102,00:00:04,monkey,0.608,134,293,717,1280
monkeysplaying,103,00:00:04,monkey,0.625,132,296,717,1280
monkeysplaying,104,00:00:04,monkey,0.575,125,301,716,1280
monkeysplaying,104,00:00:04,monkey,0.519,444,387,678,756
monkeysplaying,105,00:00:04,monkey,0.567,445,391,661,745
monkeysplaying,106,00:00:04,monkey,0.669,455,393,659,723
monkeysplaying,106,00:00:04,monkey,0.571,113,309,716,1280
monkeysplaying,107,00:00:04,monkey,0.525,450,403,643,731
monkeysplaying,107,00:00:04,monkey,0.507,72,305,714,1280
monkeysplaying,108,00:00:04,monkey,0.617,445,399,648,755
monkeysplaying,108,00:00:04,monkey,0.588,115,337,717,1280
monkeysplaying,109,00:00:04,monkey,0.661,119,350,717,1280
monkeysplaying,109,00:00:04,monkey,0.56,397,392,650,766
monkeysplaying,110,00:00:04,monkey,0.631,118,349,714,1280
monkeysplaying,111,00:00:04,monkey,0.664,104,345,714,1280
monkeysplaying,111,00:00:04,monkey,0.57,388,381,637,772
monkeysplaying,112,00:00:04,monkey,0.698,105,351,713,1280
monkeysplaying,112,00:00:04,monkey,0.626,392,384,625,765
monkeysplaying,113,00:00:04,monkey,0.668,93,357,715,1280
monkeysplaying,113,00:00:04,monkey,0.666,397,389,626,745
monkeysplaying,114,00:00:04,monkey,0.58,56,348,720,1280
monkeysplaying,115,00:00:05,monkey,0.555,61,350,720,1280
monkeysplaying,116,00:00:05,monkey,0.61,42,346,719,1280
monkeysplaying,117,00:00:05,monkey,0.584,141,387,427,688
monkeysplaying,117,00:00:05,monkey,0.565,107,343,711,1280
monkeysplaying,118,00:00:05,monkey,0.505,109,371,709,1280
monkeysplaying,120,00:00:05,monkey,0.682,163,388,428,681
monkeysplaying,121,00:00:05,monkey,0.726,163,399,428,689
monkeysplaying,122,00:00:05,monkey,0.8,162,403,429,692
monkeysplaying,123,00:00:05,monkey,0.79,160,404,431,698
monkeysplaying,123,00:00:05,monkey,0.525,108,353,714,1280
monkeysplaying,124,00:00:05,monkey,0.759,164,400,430,701
monkeysplaying,125,00:00:05,monkey,0.665,149,393,437,708
monkeysplaying,126,00:00:05,monkey,0.691,153,394,455,693
monkeysplaying,127,00:00:05,monkey,0.619,159,386,457,697
monkeysplaying,127,00:00:05,monkey,0.541,121,345,715,1280
monkeysplaying,128,00:00:05,monkey,0.572,148,387,455,698
monkeysplaying,128,00:00:05,monkey,0.526,427,384,640,710
monkeysplaying,129,00:00:05,monkey,0.625,151,386,458,691
monkeysplaying,129,00:00:05,monkey,0.587,427,380,641,703
monkeysplaying,130,00:00:05,monkey,0.554,113,362,710,1280
monkeysplaying,130,00:00:05,monkey,0.551,425,380,641,738
monkeysplaying,130,00:00:05,monkey,0.504,143,401,458,702
monkeysplaying,131,00:00:05,monkey,0.565,77,370,720,1280
monkeysplaying,131,00:00:05,monkey,0.554,429,379,647,738
monkeysplaying,132,00:00:05,monkey,0.571,74,373,720,1280
monkeysplaying,133,00:00:05,monkey,0.801,428,382,645,672
monkeysplaying,133,00:00:05,monkey,0.55,132,406,459,708
monkeysplaying,133,00:00:05,monkey,0.508,106,368,712,1280
monkeysplaying,134,00:00:05,monkey,0.786,426,381,635,656
monkeysplaying,134,00:00:05,monkey,0.708,133,395,462,683
monkeysplaying,135,00:00:05,monkey,0.723,427,381,637,662
monkeysplaying,135,00:00:05,monkey,0.551,116,392,460,690
monkeysplaying,135,00:00:05,monkey,0.542,96,348,715,1280
monkeysplaying,136,00:00:05,monkey,0.711,427,381,627,670
monkeysplaying,136,00:00:05,monkey,0.657,140,390,461,699
monkeysplaying,136,00:00:05,monkey,0.546,106,351,711,1280
monkeysplaying,137,00:00:05,monkey,0.699,426,379,632,670
monkeysplaying,137,00:00:05,monkey,0.548,106,385,461,714
monkeysplaying,137,00:00:05,monkey,0.509,73,347,718,1280
monkeysplaying,138,00:00:06,monkey,0.662,427,381,634,675
monkeysplaying,139,00:00:06,monkey,0.681,436,382,639,656
monkeysplaying,140,00:00:06,monkey,0.755,436,383,643,644
monkeysplaying,140,00:00:06,monkey,0.576,160,384,469,747
monkeysplaying,140,00:00:06,monkey,0.503,111,360,716,1280
monkeysplaying,141,00:00:06,monkey,0.593,436,382,645,647
monkeysplaying,141,00:00:06,monkey,0.524,122,360,704,1280
monkeysplaying,142,00:00:06,monkey,0.602,435,383,642,646
monkeysplaying,142,00:00:06,monkey,0.522,121,359,707,1280
monkeysplaying,143,00:00:06,monkey,0.693,438,384,640,655
monkeysplaying,143,00:00:06,monkey,0.534,122,358,705,1280
monkeysplaying,144,00:00:06,monkey,0.659,437,384,639,667
monkeysplaying,144,00:00:06,monkey,0.543,122,357,704,1280
monkeysplaying,145,00:00:06,monkey,0.643,436,382,641,670
monkeysplaying,145,00:00:06,monkey,0.557,165,384,493,755
monkeysplaying,145,00:00:06,monkey,0.514,125,350,705,1280
monkeysplaying,146,00:00:06,monkey,0.684,426,382,647,676
